participant_id,行動あり,行動なし,pre_courage,group,action_difference,condition_mean
83,1.8333333333333333,1.8333333333333333,2.0,事前勇気<4,0.0,1.8333333333333333
84,2.1666666666666665,2.3333333333333335,1.8333333333333333,事前勇気<4,-0.16666666666666696,2.25
85,1.1666666666666667,1.5,2.5,事前勇気<4,-0.33333333333333326,1.3333333333333335
86,4.0,4.0,4.0,事前勇気>=4,0.0,4.0
87,5.0,4.0,3.0,事前勇気<4,1.0,4.5
88,4.0,3.6666666666666665,3.6666666666666665,事前勇気<4,0.3333333333333335,3.833333333333333
89,7.0,7.0,7.0,事前勇気>=4,0.0,7.0
90,5.666666666666667,5.5,5.833333333333333,事前勇気>=4,0.16666666666666696,5.583333333333334
91,4.5,3.5,4.833333333333333,事前勇気>=4,1.0,4.0
92,5.0,5.0,5.0,事前勇気>=4,0.0,5.0
93,5.0,5.333333333333333,4.0,事前勇気>=4,-0.33333333333333304,5.166666666666666
94,2.0,2.0,2.3333333333333335,事前勇気<4,0.0,2.0
95,2.5,2.3333333333333335,3.5,事前勇気<4,0.16666666666666652,2.416666666666667
96,4.833333333333333,4.833333333333333,4.5,事前勇気>=4,0.0,4.833333333333333
97,4.5,4.166666666666667,3.5,事前勇気<4,0.33333333333333304,4.333333333333334
98,4.666666666666667,2.5,3.3333333333333335,事前勇気<4,2.166666666666667,3.5833333333333335
99,3.5,2.8333333333333335,3.5,事前勇気<4,0.6666666666666665,3.166666666666667
100,2.0,2.1666666666666665,2.3333333333333335,事前勇気<4,-0.16666666666666652,2.083333333333333
101,2.3333333333333335,3.6666666666666665,1.5,事前勇気<4,-1.333333333333333,3.0
102,4.333333333333333,4.666666666666667,4.666666666666667,事前勇気>=4,-0.3333333333333339,4.5
103,3.8333333333333335,3.6666666666666665,3.6666666666666665,事前勇気<4,0.16666666666666696,3.75
104,4.0,4.0,4.0,事前勇気>=4,0.0,4.0
105,4.0,4.333333333333333,4.333333333333333,事前勇気>=4,-0.33333333333333304,4.166666666666666
106,4.5,3.8333333333333335,4.666666666666667,事前勇気>=4,0.6666666666666665,4.166666666666667
107,2.3333333333333335,2.0,2.6666666666666665,事前勇気<4,0.3333333333333335,2.166666666666667
108,3.8333333333333335,3.8333333333333335,2.5,事前勇気<4,0.0,3.8333333333333335
109,3.0,3.5,3.1666666666666665,事前勇気<4,-0.5,3.25
110,4.333333333333333,4.333333333333333,4.166666666666667,事前勇気>=4,0.0,4.333333333333333
111,4.0,4.833333333333333,3.8333333333333335,事前勇気<4,-0.833333333333333,4.416666666666666
112,5.833333333333333,5.0,3.6666666666666665,事前勇気<4,0.833333333333333,5.416666666666666
113,5.166666666666667,5.166666666666667,5.166666666666667,事前勇気>=4,0.0,5.166666666666667
114,3.0,3.0,3.3333333333333335,事前勇気<4,0.0,3.0
115,4.0,3.8333333333333335,3.6666666666666665,事前勇気<4,0.16666666666666652,3.916666666666667
116,2.5,2.3333333333333335,2.5,事前勇気<4,0.16666666666666652,2.416666666666667
117,4.833333333333333,4.0,3.6666666666666665,事前勇気<4,0.833333333333333,4.416666666666666
118,3.0,4.0,2.3333333333333335,事前勇気<4,-1.0,3.5
119,2.1666666666666665,2.1666666666666665,2.5,事前勇気<4,0.0,2.1666666666666665
120,4.166666666666667,5.0,4.5,事前勇気>=4,-0.833333333333333,4.583333333333334
121,6.833333333333333,6.666666666666667,6.833333333333333,事前勇気>=4,0.16666666666666607,6.75
122,3.3333333333333335,3.1666666666666665,3.1666666666666665,事前勇気<4,0.16666666666666696,3.25
123,4.0,4.166666666666667,3.3333333333333335,事前勇気<4,-0.16666666666666696,4.083333333333334
124,3.6666666666666665,4.0,3.1666666666666665,事前勇気<4,-0.3333333333333335,3.833333333333333
125,4.666666666666667,4.0,4.333333333333333,事前勇気>=4,0.666666666666667,4.333333333333334
126,3.8333333333333335,4.833333333333333,3.6666666666666665,事前勇気<4,-0.9999999999999996,4.333333333333333
