participant_id,group,czo_pre,courage_pre,czo_diff_conflict_mean,czo_diff_no_conflict_mean,czo_diff_conflict_minus_no_conflict,czo_diff_video1,czo_diff_video2,courage_diff_conflict_mean,courage_diff_no_conflict_mean
38,CZO事前3超,3.1,3.8333333333333335,-0.19999999999999973,-0.34999999999999987,0.15000000000000013,-0.19999999999999973,-0.19999999999999973,0.41666666666666674,0.25
39,CZO事前3以下,2.0,1.5,0.30000000000000004,0.5999999999999999,-0.2999999999999998,0.5,0.10000000000000009,-0.5833333333333335,-0.8333333333333335
40,CZO事前3以下,2.6,2.3333333333333335,0.10000000000000009,0.44999999999999996,-0.34999999999999987,0.6000000000000001,-0.3999999999999999,0.25,0.08333333333333337
41,CZO事前3以下,2.9,3.8333333333333335,0.3999999999999999,0.3999999999999999,0.0,0.3999999999999999,0.3999999999999999,0.6666666666666665,0.24999999999999978
42,CZO事前3超,3.4,2.8333333333333335,0.6500000000000001,0.44999999999999996,0.20000000000000018,0.6000000000000001,0.7000000000000002,0.24999999999999978,0.5
43,CZO事前3以下,2.3,3.5,0.44999999999999996,0.3500000000000001,0.09999999999999987,0.5,0.3999999999999999,0.24999999999999978,0.6666666666666665
44,CZO事前3以下,2.4,2.3333333333333335,0.050000000000000266,-0.24999999999999978,0.30000000000000004,0.20000000000000018,-0.09999999999999964,0.08333333333333326,-0.16666666666666674
45,CZO事前3超,3.4,3.5,-0.10000000000000009,0.10000000000000009,-0.20000000000000018,-0.10000000000000009,-0.10000000000000009,-0.16666666666666674,-0.8333333333333335
46,CZO事前3以下,3.0,3.3333333333333335,-0.25,-0.3999999999999999,0.1499999999999999,0.0,-0.5,-0.6666666666666667,0.8333333333333335
47,CZO事前3超,3.1,5.166666666666667,0.050000000000000044,0.0,0.050000000000000044,-0.10000000000000009,0.20000000000000018,-0.6666666666666667,-0.41666666666666696
48,CZO事前3以下,3.0,4.5,0.7,0.6000000000000001,0.09999999999999987,0.6000000000000001,0.7999999999999998,0.24999999999999956,0.16666666666666652
49,CZO事前3超,3.2,3.6666666666666665,0.34999999999999987,0.55,-0.20000000000000018,0.2999999999999998,0.3999999999999999,0.0,-0.33333333333333326
50,CZO事前3以下,2.9,4.5,-0.15000000000000036,-0.30000000000000027,0.1499999999999999,-0.40000000000000036,0.09999999999999964,0.5000000000000004,-0.5833333333333333
51,CZO事前3以下,3.0,2.0,0.15000000000000013,0.15000000000000013,0.0,0.10000000000000009,0.20000000000000018,-0.6666666666666665,-1.1666666666666667
52,CZO事前3超,3.8,4.166666666666667,0.0,-0.10000000000000009,0.10000000000000009,0.0,0.0,0.8333333333333333,2.0
53,CZO事前3以下,3.0,4.0,0.10000000000000009,2.220446049250313e-16,0.09999999999999987,0.20000000000000018,0.0,0.4166666666666665,0.583333333333333
54,CZO事前3以下,1.7,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CZO事前3超,3.1,5.333333333333333,0.5000000000000002,0.6000000000000001,-0.09999999999999987,0.5000000000000002,0.5000000000000002,0.6666666666666665,-0.3333333333333335
56,CZO事前3以下,2.3,2.5,-0.40000000000000013,0.0,-0.40000000000000013,-0.10000000000000009,-0.7000000000000002,0.41666666666666696,0.3333333333333335
57,CZO事前3以下,2.3,2.5,0.30000000000000027,0.10000000000000009,0.20000000000000018,0.20000000000000018,0.40000000000000036,-0.08333333333333326,-0.5
58,CZO事前3以下,1.8,2.0,-0.04999999999999982,0.20000000000000018,-0.25,0.0,-0.09999999999999964,0.75,0.9166666666666667
59,CZO事前3以下,2.6,2.0,0.09999999999999987,0.44999999999999996,-0.3500000000000001,0.09999999999999987,0.09999999999999987,-0.33333333333333337,-0.33333333333333337
60,CZO事前3超,3.6,5.333333333333333,0.3500000000000001,0.19999999999999996,0.15000000000000013,0.6000000000000001,0.10000000000000009,0.9166666666666667,1.0
61,CZO事前3超,3.2,4.666666666666667,0.10000000000000009,0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009,-0.5,-0.4166666666666665
62,CZO事前3以下,2.6,4.333333333333333,-0.15000000000000013,-0.2500000000000002,0.10000000000000009,0.0,-0.30000000000000027,-0.7500000000000002,-0.5833333333333335
63,CZO事前3超,4.0,4.333333333333333,0.1499999999999999,0.34999999999999987,-0.19999999999999996,0.0,0.2999999999999998,-0.5833333333333328,0.666666666666667
64,CZO事前3超,3.6,5.833333333333333,0.09999999999999964,0.04999999999999982,0.04999999999999982,0.09999999999999964,0.09999999999999964,4.440892098500626e-16,0.0
65,CZO事前3超,3.1,2.5,-0.050000000000000044,-0.20000000000000018,0.15000000000000013,-0.10000000000000009,0.0,4.440892098500626e-16,0.08333333333333348
