participant_id,group,courage_pre,czo_pre,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,courage_diff_video1,courage_diff_video2,is_conflict_high_group
100,勇気事前4以下,2.3333333333333335,3.0,-0.33333333333333326,-0.5833333333333335,0.2500000000000002,0.0,-0.6666666666666665,False
101,勇気事前4以下,1.5,2.5,-0.2500000000000002,-0.3333333333333336,0.08333333333333337,-0.3333333333333335,-0.16666666666666696,False
102,勇気事前4超,4.666666666666667,3.9,1.5,2.416666666666667,-0.916666666666667,0.8333333333333335,2.1666666666666665,False
103,勇気事前4以下,3.6666666666666665,2.5,-0.16666666666666696,0.24999999999999956,-0.4166666666666665,-0.3333333333333339,0.0,False
104,勇気事前4以下,4.0,3.0,0.08333333333333348,-0.24999999999999978,0.33333333333333326,0.16666666666666696,0.0,False
105,勇気事前4超,4.333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,False
106,勇気事前4超,4.666666666666667,3.6,-0.16666666666666652,0.25000000000000044,-0.41666666666666696,-0.33333333333333304,0.0,False
107,勇気事前4以下,2.6666666666666665,2.5,-0.5000000000000002,-0.5833333333333337,0.08333333333333348,-0.16666666666666696,-0.8333333333333335,False
108,勇気事前4以下,2.5,2.3,-0.4999999999999998,-0.6666666666666665,0.16666666666666674,-0.33333333333333304,-0.6666666666666665,False
109,勇気事前4以下,3.1666666666666665,1.7,1.3333333333333335,0.0,1.3333333333333335,1.3333333333333335,1.3333333333333335,False
110,勇気事前4超,4.166666666666667,3.5,0.08333333333333348,0.16666666666666674,-0.08333333333333326,-0.16666666666666652,0.3333333333333335,False
111,勇気事前4以下,3.8333333333333335,3.1,0.16666666666666607,0.16666666666666652,-4.440892098500626e-16,0.16666666666666607,0.16666666666666607,False
112,勇気事前4以下,3.6666666666666665,3.4,0.583333333333333,-0.3333333333333335,0.9166666666666665,0.16666666666666652,0.9999999999999996,False
113,勇気事前4超,5.166666666666667,3.3,1.75,1.5,0.25,2.1666666666666665,1.3333333333333335,False
114,勇気事前4以下,3.3333333333333335,2.5,0.0,0.16666666666666652,-0.16666666666666652,0.0,0.0,False
115,勇気事前4以下,3.6666666666666665,3.0,-0.3333333333333335,-0.2500000000000002,-0.08333333333333326,-0.3333333333333335,-0.3333333333333335,False
116,勇気事前4以下,2.5,2.0,0.2500000000000002,0.41666666666666674,-0.16666666666666652,0.3333333333333335,0.16666666666666696,False
117,勇気事前4以下,3.6666666666666665,3.7,-0.08333333333333326,-0.33333333333333337,0.2500000000000001,0.0,-0.16666666666666652,False
118,勇気事前4以下,2.3333333333333335,2.2,0.75,2.220446049250313e-16,0.7499999999999998,1.1666666666666665,0.3333333333333335,False
119,勇気事前4以下,2.5,2.6,1.1666666666666665,1.6666666666666665,-0.5,0.6666666666666665,1.6666666666666665,True
120,勇気事前4超,4.5,3.0,-0.3333333333333335,-0.6666666666666666,0.33333333333333315,-0.3333333333333335,-0.3333333333333335,False
121,勇気事前4超,6.833333333333333,4.1,0.08333333333333348,0.5833333333333335,-0.5,-0.33333333333333304,0.5,False
122,勇気事前4以下,3.1666666666666665,1.9,-0.08333333333333304,-0.08333333333333304,0.0,0.0,-0.16666666666666607,False
123,勇気事前4以下,3.3333333333333335,3.3,0.08333333333333348,-0.6666666666666665,0.75,0.16666666666666696,0.0,False
124,勇気事前4以下,3.1666666666666665,2.9,0.75,0.75,0.0,0.6666666666666665,0.8333333333333335,False
125,勇気事前4超,4.333333333333333,2.9,0.6666666666666667,0.5833333333333335,0.08333333333333326,0.5,0.8333333333333335,False
126,勇気事前4以下,3.6666666666666665,2.8,4.440892098500626e-16,-0.08333333333333304,0.08333333333333348,0.3333333333333339,-0.33333333333333304,False
